,name,height,points,salary
350,Sindarius Thornwell,h-3,p-1,s-1
351,Solomon Hill,h-3,p-2,s-2
352,Spencer Dinwiddie,h-3,p-2,s-8
353,Stanley Johnson,h-3,p-1,s-4
354,Stephen Curry,h-3,p-4,s-11
355,Sterling Brown,h-3,p-2,s-2
356,Steven Adams,h-4,p-2,s-10
357,Svi Mykhailiuk,h-3,p-2,s-2
358,Taj Gibson,h-4,p-2,s-2
359,Taurean Prince,h-3,p-2,s-8
360,Terance Mann,h-3,p-2,s-2
361,Terence Davis,h-3,p-2,s-2
362,Terrance Ferguson,h-3,p-1,s-4
363,Terrence Ross,h-3,p-4,s-8
364,Terry Rozier,h-2,p-4,s-9
365,Thaddeus Young,h-4,p-3,s-8
366,Thanasis Antetokounmpo,h-3,p-1,s-2
367,Thomas Bryant,h-4,p-4,s-7
368,Thon Maker,h-4,p-1,s-1
369,Tim Frazier,h-2,p-1,s-1
370,Tobias Harris,h-4,p-4,s-10
371,Tomas Satoransky,h-3,p-2,s-8
372,Tony Bradley,h-4,p-2,s-4
373,Tony Snell,h-3,p-2,s-8
374,Torrey Craig,h-3,p-1,s-2
375,Trae Young,h-2,p-4,s-7
376,Trevor Ariza,h-4,p-2,s-8
377,Trey Burke,h-2,p-2,s-4
378,Trey Lyles,h-4,p-2,s-6
379,Tristan Thompson,h-4,p-2,s-7
380,Troy Williams,h-3,p-2,s-1
381,Ty Jerome,h-3,p-2,s-3
382,Tyler Cook,h-4,p-1,s-1
383,Tyler Herro,h-3,p-4,s-4
384,Tyler Johnson,h-3,p-2,s-2
385,Tyus Jones,h-2,p-2,s-7
386,Udonis Haslem,h-4,p-1,s-2
387,Victor Oladipo,h-3,p-4,s-9
388,Vincent Poirier,h-4,p-1,s-3
389,Vlatko Cancar,h-4,p-1,s-2
390,Wayne Ellington,h-3,p-3,s-2
391,Wenyen Gabriel,h-4,p-1,s-2
392,Wesley Matthews,h-3,p-2,s-4
393,Will Barton,h-3,p-4,s-8
394,Willy Hernangomez,h-4,p-2,s-2
395,Yogi Ferrell,h-2,p-2,s-1
396,Zach Collins,h-4,p-2,s-6
397,Zach LaVine,h-3,p-4,s-9
398,Zhaire Smith,h-3,p-1,s-2
399,Zion Williamson,h-3,p-4,s-8
400,Zylan Cheatham,h-3,p-1,s-2
