,name,age,points,salary
65,Collin Sexton,0.10000000000000009,0.7547169811320755,0.11504419298822373
66,Cory Joseph,0.44999999999999996,0.21069182389937108,0.29215695686706433
67,Cristiano Felicio,0.40000000000000013,0.050314465408805034,0.17410738833051087
68,D'Angelo Russell,0.25,0.6069182389937107,0.6657744899346923
69,DaQuan Jeffries,0.15000000000000013,0.12264150943396226,0.03249104288673235
70,Dakari Johnson,0.25,0.05660377358490566,0.009530928154483847
71,Damian Jones,0.25,0.09433962264150944,0.01711702215378481
72,Damian Lillard,0.5,0.9465408805031447,0.7350937446704635
73,Damion Lee,0.40000000000000013,0.21069182389937108,0.0398729296489307
74,Damyean Dotson,0.30000000000000004,0.21069182389937108,0.04539490564866736
75,Daniel Gafford,0.10000000000000009,0.1509433962264151,0.03417377384053147
76,Daniel Theis,0.40000000000000013,0.29559748427672955,0.11523322203123254
77,Danilo Gallinari,0.6000000000000001,0.4025157232704403,0.45278508454696426
78,Danny Green,0.6500000000000001,0.2893081761006289,0.3565444624942867
79,Dante Exum,0.25,0.11949685534591194,0.22231864048449915
80,Dario Saric,0.30000000000000004,0.32389937106918243,0.2141708369065332
81,Darius Bazley,0.0,0.37421383647798745,0.0546871264377556
82,Darius Garland,0.050000000000000044,0.5157232704402516,0.1552906179531684
83,Darius Miller,0.55,0.10691823899371068,0.16179209961960933
84,David Nwaba,0.40000000000000013,0.2893081761006289,0.041297794259206586
85,Davis Bertans,0.40000000000000013,0.339622641509434,0.3480276099731165
86,De'Aaron Fox,0.15000000000000013,0.7484276729559749,0.18739079906254633
87,De'Andre Hunter,0.15000000000000013,0.5251572327044025,0.17161602279075683
88,De'Anthony Melton,0.10000000000000009,0.3018867924528302,0.22166011171988914
89,DeAndre Jordan,0.6000000000000001,0.23899371069182387,0.2403759890094976
90,DeAndre' Bembry,0.30000000000000004,0.14465408805031446,0.03927578876442097
91,DeMar DeRozan,0.55,0.6477987421383649,0.6446070782251068
92,DeMarcus Cousins,0.5,0.3018867924528302,0.036561848510355696
93,DeMarre Carroll,0.7,0.279874213836478,0.14129865094255423
94,Dean Wade,0.19999999999999996,0.1289308176100629,0.03417377384053147
95,Deandre Ayton,0.10000000000000009,0.4559748427672956,0.23205410178822874
96,Dejounte Murray,0.19999999999999996,0.49056603773584906,0.33140609067406596
97,Delon Wright,0.40000000000000013,0.330188679245283,0.20835097720798612
98,Demetrius Jackson,0.30000000000000004,0.05660377358490566,0.000997686908402532
99,Dennis Schroder,0.3500000000000001,0.4716981132075472,0.37130704876730486
100,Denzel Valentine,0.3500000000000001,0.23270440251572327,0.10691780649394844
101,Derrick Favors,0.44999999999999996,0.18553459119496857,0.21435707241688673
102,Derrick Rose,0.6000000000000001,0.42452830188679247,0.17769023363756922
103,Derrick White,0.30000000000000004,0.4025157232704403,0.08069314622127452
104,Devin Booker,0.19999999999999996,0.789308176100629,0.6848298745596753
105,Devonte' Graham,0.30000000000000004,0.41194968553459116,0.03756977837182767
106,Dewayne Dedmon,0.55,0.20125786163522014,0.06557042703011023
107,Dillon Brooks,0.25,0.4968553459119497,0.2642216303140383
108,Dion Waiters,0.44999999999999996,0.41194968553459116,0.29332092880677374
109,Domantas Sabonis,0.19999999999999996,0.6352201257861635,0.45976891618522076
110,Donovan Mitchell,0.19999999999999996,0.7987421383647798,0.11978437559493516
111,Doug McDermott,0.44999999999999996,0.42767295597484273,0.16955190479119253
112,Draymond Green,0.55,0.19182389937106917,0.5167326786192928
113,Drew Eubanks,0.19999999999999996,0.14465408805031446,0.036561848510355696
114,Duncan Robinson,0.30000000000000004,0.39308176100628933,0.03756977837182767
115,Dwayne Bacon,0.25,0.3113207547169811,0.03791880699766894
116,Dwight Howard,0.75,0.20754716981132074,0.036561848510355696
117,Dwight Powell,0.44999999999999996,0.13836477987421386,0.25677511982974727
118,Dylan Windler,0.19999999999999996,0.169811320754717,0.04859443171654061
119,Dzanan Musa,0.050000000000000044,0.13522012578616352,0.04546008807729109
120,E'Twaun Moore,0.6000000000000001,0.13522012578616352,0.036561848510355696
121,Ed Davis,0.55,0.07232704402515723,0.11535776702878145
122,Edmond Sumner,0.25,0.15408805031446543,0.04911961585573751
123,Elfrid Payton,0.3500000000000001,0.389937106918239,0.10980911279218664
124,Enes Kanter,0.40000000000000013,0.380503144654088,0.11535776702878145
125,Eric Bledsoe,0.55,0.35534591194968557,0.3916765577122197
126,Eric Gordon,0.6000000000000001,0.559748427672956,0.3915433062045618
127,Eric Paschall,0.19999999999999996,0.29874213836477986,0.03417377384053147
128,Ersan Ilyasova,0.6500000000000001,0.0,0.016406952711684474
129,Evan Fournier,0.40000000000000013,0.6163522012578617,0.405062235018878
130,Frank Jackson,0.10000000000000009,0.16352201257861637,0.0046558877588376785
131,Frank Kaminsky,0.3500000000000001,0.20754716981132074,0.036561848510355696
132,Frank Ntilikina,0.10000000000000009,0.13522012578616352,0.14262329756882114
133,Fred VanVleet,0.3500000000000001,0.6320754716981133,0.4935241024367939
134,Furkan Korkmaz,0.15000000000000013,0.2893081761006289,0.0398729296489307
