,name,age,points,salary,label
67,Cristiano Felicio,0.24059263905069345,-1.1952080105548364,-0.09516727613471973,1
68,D'Angelo Russell,-0.5015431167902913,1.3798368827535241,2.0657262124163083,0
69,DaQuan Jeffries,-0.9963002873509478,-0.8605976571870833,-0.7175758890831916,1
70,Dakari Johnson,-0.5015431167902913,-1.1661114580880751,-0.8184863674524411,1
71,Damian Jones,-0.5015431167902913,-0.9915321432875084,-0.7851452285534987,1
72,Damian Lillard,0.73534980961135,2.9510507159586252,2.3703866741413395,0
73,Damion Lee,0.24059263905069345,-0.4532459226524274,-0.6851322478763467,1
74,Damyean Dotson,-0.2541645315099631,-0.4532459226524274,-0.660862977179093,1
75,Daniel Gafford,-1.2436788726312762,-0.7296631710866582,-0.7101802298064498,1
76,Daniel Theis,0.24059263905069345,-0.06044246435115209,-0.35392122201576937,3
